,wine_index,type_,alcohol,quality,name_,crispness,acidity,fruitiness,sweetness,dryness
0,0,red,9.4,5,'UYberto 2019',2,2,1,3,3
1,1,red,9.8,5,'SFis dez CruequetPer 2021',2,2,2,4,2
2,2,red,9.8,5,'Rve Les Apechios IIk Garo Granim GOC',2,2,1,3,3
3,3,red,9.8,6,'OOV',4,4,2,3,3
4,4,red,9.4,5,'QA',2,2,1,3,3
5,5,red,9.4,5,'Nion 2017',2,2,1,3,3
6,6,red,9.4,5,'QA',2,2,1,3,3
7,7,red,10.0,7,'GNoir 2019',2,2,1,2,4
8,8,red,9.5,7,'DNe Pinot Noirs Hourewfot 2020',2,2,1,3,3
9,9,red,9.2,5,'JHondeli BacosteP 2020',1,2,1,3,3
10,10,red,9.9,5,'WBrahk Roserva 2018',1,1,1,2,4
11,11,red,9.1,5,'Trungio 2021',2,2,1,3,3
12,12,red,10.5,7,'Carmanala Ridgral 2019',3,3,3,3,3
13,13,red,9.4,6,'Ord',3,3,2,3,3
14,14,red,9.7,5,'IOph Powold Liphento Vignelos Qu HordscorninDMErlig',2,2,2,4,2
15,15,red,9.5,5,'Vinganolla 2016',2,2,1,3,3
16,16,red,9.4,5,'ACteruoes Laudouraue Syroh 2020',2,3,1,4,2
17,17,red,9.7,6,'Wani Albeston Pinot Noir VQA',2,2,1,4,2
18,18,red,9.3,5,'Polo 2020',1,2,1,2,4
19,19,red,9.5,5,'Santialo Barolo 2017',2,2,1,3,3
20,20,red,9.5,5,'Dy Hifervan El Tabus On 2017',2,2,1,3,3
21,21,red,9.4,5,'Zson Reserve Sauvignon 2019',2,2,1,3,3
22,22,red,9.8,6,'Untofi Amagooser 2017',2,2,1,3,3
23,23,red,10.1,5,'Az Vineyards Belltiar Hils Reserve Crianza 2019',1,2,1,3,3
24,24,red,10.6,6,'WANbec 2014',1,2,1,3,3
25,25,red,9.8,5,'Zisin Reserve Cobernet Sauvignon 2021',2,2,2,3,3
26,26,red,9.2,5,'Verga 2019',1,1,1,3,3
27,27,red,10.8,6,'Do IGV Rough 2020',2,2,1,3,3
28,28,red,9.7,7,'IIHGAgbernet Merlot VQA',2,2,2,3,3
29,29,red,9.3,4,'Bales Pinot Noir',3,3,2,4,2
30,30,red,10.3,5,'La 2018',2,2,1,3,3
31,31,red,9.5,5,'GOra Romas VQA',1,2,1,3,3
32,32,red,13.1,4,'Baras Melity Vineyand Moricas Reserve MalbecMermarg',1,1,1,2,4
33,33,red,9.2,5,'Qua Morde Organic 2018',2,2,2,4,2
34,34,red,9.5,5,'O18',3,3,2,3,3
35,35,red,9.2,5,'Zich Cabernet Sauvignon Pinot Noir 2021',1,1,1,3,3
36,36,red,9.2,5,'QCabernet Sauvignon 2019',1,1,1,2,4
37,37,red,9.2,5,'Qurieg Alttume Old VQA',3,3,1,3,3
38,38,red,9.4,6,'Nol Vignes de Bellene 2020',1,2,1,3,3
39,39,red,9.4,6,'Plou',1,2,1,3,3
40,40,red,9.4,5,'Zfrent Speckannam 2018',2,3,3,4,2
41,41,red,10.2,6,'Girandalcino 2018',2,2,3,4,2
42,42,red,9.6,5,'Ufs Vineyards Pabillen 2019',3,3,2,5,1
43,43,red,10.0,5,'QOrgenico 2019',2,2,1,3,3
44,44,red,9.4,6,'GVines 2020',2,2,1,4,2
45,45,red,9.2,5,'Do Madarcino 2019',3,3,2,4,2
46,46,red,9.3,5,'Cmassie 2018',2,2,2,3,3
47,47,red,9.5,7,'Fornschonderi IGP 2019',2,2,1,3,3
48,48,red,9.8,5,'Splicali Mounterx Pinot Noir 2010',2,2,1,3,3
49,49,red,9.6,5,'HHilat',2,2,1,3,3
50,50,red,10.7,5,'K7',1,2,1,2,4
51,51,red,10.7,5,'MHarnite Borord Pinot Noir Varnet ReW Klee',3,3,3,3,3
52,52,red,10.5,6,'Apriel Senewionetamean 2017',2,2,1,3,3
53,53,red,9.5,6,'Efitoge 2018',2,2,1,3,3
