,Wine_Index,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,name
0,0,white,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,'ExDra Muccoto Chaslini 2019'
1,1,white,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,'G21/Spale Recerve Salvignon Blanc 2022'
2,2,white,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,'Sauzt Griszot Bry Craslis EIschozte Sfonssenn Blanc'
3,3,white,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,'Eschion Cuvée Graid Crbelior Riesling 2022'
4,4,white,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,'T)öl5 Vinesarde Ruedsing 2022'
5,5,white,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,'QA'
6,6,white,6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,6,'QAn Valle Penon Giorduine Veddeni Alãparig 2022'
7,7,white,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,'JRostino'
8,8,white,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,'Q20'
9,9,white,8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,6,'Piney Dum Ven Criviger Sunct Bringo Axt Zeitrer68'
10,10,white,8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,5,'VQney Der Cru 2021'
11,11,white,8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,5,'Wecür Mablligues Vigneser Vigno Ses Wite'
12,12,white,7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,5,"""Nont L'T Dcos Byrranca 2020"""
13,13,white,6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,7,"""JRVéennar 2024 Phtoztr'Nuin Roperanc Vignta 2022"""
14,14,white,8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5,'Yînol Garkatzie 2021'
15,15,white,6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,3.25,0.55,11.4,7,'HPros Rosé ves Brug white-wine'
16,16,white,6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,6,'KÄèRde Beccols Grigio Drgion Châte & Ruiss Vigniar '
17,17,white,6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8,'Spoiminis 2022'
18,18,white,7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,6,'Bine Gri Viellignon Blanc 2020'
19,19,white,6.5,0.31,0.14,7.5,0.044,34.0,133.0,0.9955,3.22,0.5,9.5,5,'Kruiges Gala Maltea Brut Mochalliwio DOA'
20,20,white,6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8,'Unzhtcione Dac Ven Ruce Ardelostie 2021'
21,21,white,6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,3.17,0.35,11.0,7,'Qqulaine'
22,22,white,6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,8,'I2nit Rieslingel Chardonny 2020'
