name,type
13th Street Burger Blend Gamay Noir Pinot Noir VQA,red-wine
13th Street Expression Series CabernetMerlot 2020,red-wine
13th Street Gamay,red-wine
13th Street Whitty Vineyard Gamay 2020,red-wine
19 Crimes Cabernet Sauvignon,red-wine
19 Crimes Pinot Noir,red-wine
19 Crimes Shiraz Durif,red-wine
19 Crimes Snoop Dogg Cali Red,red-wine
19 Crimes The Uprising Red Wine,red-wine
20 Bees Cabernet Merlot VQA,red-wine
3 Rings Shiraz 2020,red-wine
7 Deadly Cab Cabernet Sauvignon 2019,red-wine
8 Bagos Red 2017,red-wine
A to Z Wineworks Pinot Noir,red-wine
Abad Dom Bueno Cimabella Menca 2019,red-wine
Abbotts  Delaunay Les Fleurs Sauvages Vieilles Vignes Carignan 2021,red-wine
Abremundos Octava Alta 2018,red-wine
Abremundos Octava Bassa 2020,red-wine
Accendo Cellars Cabernet Sauvignon 2016,red-wine
Achaval Ferrer Quimera 2019,red-wine
Acrobat Pinot Noir 2021,red-wine
Actarus Primitivo di Manduria 2021,red-wine
Adamo Estate Parke Vineyard Growers Series Pinot Noir 2017,red-wine
Adamvs Quintvs Cabernet Sauvignon 2015,red-wine
Adelsheim Breaking Ground Pinot Noir 2019,red-wine
Adesso Merlot DItalia,red-wine
Adino Rosso Conero DOC 2016,red-wine
Adobe Reserva Merlot Organic,red-wine
Adobe Road Beckstoffer Georges III Vineyard Cabernet Sauvignon 2017,red-wine
Adventura Malbec Valle de Canota Mendoza 2019,red-wine
Aes Ambelis Omiros Maratheftiko 2019,red-wine
Agrado La Lobera Cuatro Varietales Reserva 2010,red-wine
Akitu A2 Pinot Noir 2018,red-wine
Alain Corcia Givry 2022,red-wine
Alamos Cabernet Sauvignon,red-wine
Alamos Malbec,red-wine
Alamos Seleccin Malbec 2019,red-wine
Alario Cabernet Sauvignon,red-wine
Alaris Trapiche Cabernet Sauvignon,red-wine
Alaris Trapiche Malbec,red-wine
Alazani Saperavi Premium Collection Dry Red,red-wine
Albert Bichot Beaujolais Selection Parcellaire,red-wine
Albert Bichot Bourgogne Pinot Noir AOC,red-wine
Alceo Twelve 12 Meses Monastrell 2019,red-wine
Alejandro Bulgheroni Cabernet Sauvignon 2018,red-wine
Alejandro Fernndez Dehesa La Granja 2016,red-wine
Alfasi Reserva MalbecSyrah KP,red-wine
Alianca Bairrada Reserva,red-wine
