,index,type,quality,crispness,acidity,fruitiness,sweetness,dryness
0,0,red,5,1,1,0,2,2
1,1,red,5,1,1,0,3,1
2,2,red,5,1,1,0,2,2
3,3,red,6,3,3,3,2,2
4,4,red,5,1,1,0,2,2
5,5,red,5,1,1,0,2,2
6,6,red,5,1,1,0,2,2
7,7,red,7,1,1,0,1,3
8,8,red,7,1,1,0,2,2
9,9,red,5,0,1,0,2,2
10,10,red,5,0,0,0,1,3
11,11,red,5,1,1,1,2,2
12,12,red,7,2,2,3,2,2
13,13,red,6,2,2,3,2,2
14,14,red,5,1,1,2,3,1
15,15,red,5,1,1,1,2,2
16,16,red,5,1,2,0,3,1
17,17,red,6,1,1,1,3,1
18,18,red,5,0,1,1,1,3
19,19,red,5,1,1,1,2,2
20,20,red,5,1,1,1,2,2
21,21,red,5,1,1,0,2,2
22,22,red,6,1,1,0,2,2
23,23,red,5,0,1,0,2,2
24,24,red,6,0,1,0,2,2
25,25,red,5,1,1,1,2,2
26,26,red,5,0,0,1,2,2
27,27,red,6,1,1,0,2,2
28,28,red,7,1,1,1,2,2
29,29,red,4,2,2,2,3,1
30,30,red,5,1,1,1,2,2
31,31,red,5,0,1,0,2,2
32,32,red,4,0,0,0,1,3
33,33,red,5,1,1,2,3,1
34,34,red,5,2,2,3,2,2
35,35,red,5,0,0,1,2,2
36,36,red,5,0,0,2,1,3
37,37,red,5,2,2,1,2,2
38,38,red,6,0,1,0,2,2
39,39,red,6,0,1,0,2,2
40,40,red,5,1,2,2,3,1
41,41,red,6,1,1,1,3,1
42,42,red,5,2,2,3,4,0
43,43,red,5,1,1,1,2,2
44,44,red,6,1,1,1,3,1
45,45,red,5,2,2,2,3,1
46,46,red,5,1,1,3,2,2
47,47,red,7,1,1,1,2,2
48,48,red,5,1,1,0,2,2
49,49,red,5,1,1,0,2,2
50,50,red,5,0,1,0,1,3
51,51,red,5,2,2,3,2,2
52,52,red,6,1,1,0,2,2
53,53,red,6,1,1,0,2,2
54,54,red,5,1,1,1,2,2
55,55,red,5,1,1,1,2,2
56,56,red,4,1,1,1,2,2
57,57,red,5,2,2,3,3,1
58,58,red,5,2,2,3,2,2
59,59,red,5,2,2,3,2,2
60,60,red,6,0,1,0,2,2
61,61,red,5,0,1,0,2,2
62,62,red,4,1,1,1,2,2
63,63,red,5,0,0,1,2,2
64,64,red,5,1,1,3,2,2
65,65,red,6,1,0,2,2,2
66,66,red,5,1,1,1,2,2
67,67,red,6,1,2,2,2,2
68,68,red,5,1,1,1,2,2
69,69,red,5,2,2,3,2,2
70,70,red,5,1,1,0,2,2
71,71,red,5,1,1,2,2,2
72,72,red,6,1,2,2,2,2
73,73,red,5,1,2,2,2,2
74,74,red,5,1,1,1,2,2
75,75,red,4,0,0,0,1,3
76,76,red,6,0,0,0,1,3
77,77,red,5,0,1,0,3,1
78,78,red,5,1,1,1,2,2
79,79,red,5,1,1,0,3,1
80,80,red,6,1,1,1,2,2
81,81,red,6,1,1,1,2,2
82,82,red,6,1,1,1,2,2
83,83,red,6,1,1,1,2,2
84,84,red,5,1,1,1,2,2
85,85,red,5,1,1,1,2,2
86,86,red,5,1,1,1,2,2
87,87,red,5,0,0,1,2,2
88,88,red,6,1,1,3,3,1
89,89,red,5,1,1,1,2,2
90,90,red,5,1,2,0,2,2
91,91,red,5,1,2,0,2,2
92,92,red,6,2,2,2,3,1
93,93,red,5,1,1,1,2,2
94,94,red,6,2,2,2,2,2
95,95,red,6,1,1,1,2,2
96,96,red,6,1,1,0,2,2
97,97,red,6,1,1,0,2,2
98,98,red,5,1,1,0,3,1
99,99,red,5,1,1,0,3,1
100,100,red,5,1,1,1,2,2
101,101,red,5,1,1,0,1,3
102,102,red,5,1,1,0,1,3
103,103,red,7,1,1,0,1,3
104,104,red,5,0,0,0,2,2
105,105,red,5,0,0,0,1,3
106,106,red,5,0,0,0,1,3
107,107,red,6,0,1,0,1,3
108,108,red,6,1,1,0,2,2
109,109,red,5,1,2,1,2,2
110,110,red,5,1,1,1,2,2
111,111,red,5,1,1,2,2,2
112,112,red,5,1,1,1,2,2
113,113,red,5,1,1,1,2,2
114,114,red,5,1,2,1,2,2
115,115,red,5,1,1,1,2,2
116,116,red,5,0,0,0,2,2
117,117,red,5,1,2,3,2,2
118,118,red,5,0,0,0,2,2
119,119,red,6,1,1,0,2,2
120,120,red,6,1,1,2,3,1
121,121,red,6,1,1,2,2,2
122,122,red,5,1,1,0,2,2
123,123,red,5,1,1,0,2,2
124,124,red,5,1,1,0,2,2
125,125,red,6,1,1,1,2,2
