,crispness,acidity,fruitiness,sweetness,preference
0,4,3,4,2,red
1,3,4,4,2,red
2,3.5,3.5,1.5,3.0,red
3,4,4,4.5,2,red
4,0,3,4,3,red
5,0,4,3,0,color
6,3,3,4,2,red
7,4,3,4,2,red
8,0,0,5,0,red
9,3,3,4,2,red
10,0,2,2,0,red
11,3,3,4,2,red
12,3,4,4,2,red
13,3.5,4.5,4.5,3.5,red
14,3.5,4.5,4.5,2.5,red
15,3.5,3.5,4,2,red
16,0,3,4,0,red
17,4,4,4,3,red
18,3,4,3,2,red
19,3,3,2,3,red
20,3,4,3,2,red
21,0,4,5,3,red
22,4,3,4,2,Red
23,0,0,4,0,red
24,3,3,4,2,red
25,0,2.5,4,2.5,red
26,2.5,2,3,2.5,red
27,4,4,3,2,red
28,3,4,5,3,red
29,0,3,4,2,red
30,3,3,4,2,red
31,4,4,5,3,red
32,2,3,4,2,red
33,3,3,4,2,red
34,0,0,4,1,red
35,3,4,4,2,red
36,2,3,3,2,red
37,2.5,3.5,4,2.5,red
38,0,0,4,0,red
39,0,4,4,3,red
40,3,2,4,2,red
41,0,4,4,2,red
42,0,2,3,4,red
43,3.5,2.5,4.0,3.5,red
44,3.0,4.0,4.0,2.0,red
45,2.5,3.5,4,2.5,red
46,4,3,5,3,red
47,0,3.5,4,2.5,red
48,4,3,4,2,red
49,0,1,2,1,red
50,3,3,5,3,red
51,2,3,4,3,red
52,3,3,4,2,red
53,0,3,4,0,red
54,0,4,5,4,red
55,2,3,4,3,red
56,4,5,3,2,red
57,0,3,4,2.5,red
58,3,4,4,2,red
59,3,3,4,2,red
60,3,4,5,3,red
61,0,4,5,3,red
62,0,3,4,2,red
63,2,2.5,2.5,2,red
64,4,3,5,2,red
65,0,0,2.5,0,red
66,4,2,4,3,red
67,0,2.5,4,3.5,red
68,4,4,5,3,red
69,3,4,4,2,red
70,3.0,4.5,4.5,3.0,red
71,0,4,5,0,red
72,0,3,4,2,red
73,0,0,4,1,red
74,2,3,4,2,red
75,3,4,2,2,red
76,2.0,2.5,4.0,2.0,red
77,4,3,3,4,red
78,3.5,3.5,4.5,2.5,red
79,0,0,4,2,red
80,3,4,3,2,red
81,3.5,3.0,4.5,3.5,red
82,2.5,3.5,4.5,3.5,red
83,0,3,2,0,red
84,3,4,5,3,red
85,3,4,4,2,red
86,3.5,4,3,2.5,red
87,3,2,4,3,red
88,3.5,3.0,4.0,2.5,red
89,0,0,5,5,red
90,3.5,2.5,4,3.5,red
91,2.5,1,3,4,red
92,3.5,3,3.5,3,red
93,3.5,4,3.5,2,red
94,0,0,5,4,red
95,0,3,4,0,red
96,3,4,5,2,red
97,4,3,4,2,red
98,0,2,4,1,red
99,3.5,4,4.5,3,red
100,3,4.5,4.5,3,red
101,2.5,3.5,4,2.5,red
102,2.5,3.5,4,3,red
103,3.5,3.5,2.5,2.0,red
104,0,0,5,0,red
105,0,4,4,3,red
106,3,3,4,2,red
107,3,3,4,2,red
108,3.5,3.5,3,4,red
109,2.5,2.5,4.5,2,red
110,4,3,5,2,red
111,0,3,5,3,red
112,0,0,5,0,red
113,0,3,4,0,red
114,0,1,4,2,red
115,3,2.5,4,2.5,red
116,5,4,4,3,red
117,0.2,0.5,0.9,0.3,red
118,5,4,4,3,red
119,2.5,3,2.5,4,red
120,2.5,2.5,4.5,2.5,red
121,0,0,2,2,red
122,0.0,0.0,0.0,0.0,red
123,0,0,5,0,red
124,3.5,3.0,4.0,2.0,red
125,3,3,4,3,red
126,0,2,3,4,red
127,0,4,4,1,red
128,1,1,4,1,red
129,3.5,4,4,3.5,red
130,0,4,5,0,red
131,0,4,2,3,red
132,3,4,4,2,red
133,0,0,1,0,red
134,0,4,4,0,red
135,3.5,3.5,3.5,3.5,No Preference
136,3.5,3.5,4.5,2,red
137,0,4,5,0,red
138,0,0,0,0,N/A
139,3.5,3.5,4,2,red
140,0,3,5,0,red
141,0,3,1,4,red
142,4,3,2,2,red
143,0,2.5,2.5,2.5,red
144,3,3,4,3,red
145,3,3,4,2,red
146,0,0,0,0,
147,3,4,2,2,red
148,0,0,5,0,red
149,0,3,4,5,red
150,0,2,3,1,red
151,3,3,4,2,red
152,3,3,4,3,red
153,0,4,4,0,red
154,3,4,4,2,red
155,3.5,3.5,4.5,3.5,red
156,0,3,2,0,white
157,3,4,2,1,red
158,2.5,3.5,4.5,2.5,red
159,0,0,5,3,
160,3.5,3.5,4.5,3.5,red
161,0,4,5,2,red
162,3.5,3.0,4.5,2.0,red
163,4,3,5,3,red
164,0,2,4,0,red
165,3,4,4.5,3,red
166,3.5,4.0,4.5,3.0,red
167,2.5,3,3.5,2.5,red
168,4.0,3.5,4.0,3.5,red
169,4,3,4,2,red
170,3.5,3.5,4,2.5,red
171,3,3.5,2.5,3,red
172,3.5,3.5,4.5,3.5,red
173,3,3,3,3,red
174,3,4,5,3,red
175,3.5,4,4.5,3,red
176,0,3,4,0,red
177,0,0,3,3,red
178,3,3,4,2,red
179,3.0,3.5,4.5,2.5,red
180,4,3,4,2,red
181,4,2,4,3,red
182,4,4,5,3,red
183,0,4,3,0,red
184,3,4,2,3,red
185,4,4,3,2,red
186,2.5,2.5,2.5,1,red
187,4,4.5,4.5,2,red
188,3,2,3,3,red
189,2,3,4,1,red
190,2.5,3.5,3.5,2.5,red
191,3,2,4,2,red
192,3,3,4,3,red
193,3,4,2,2,red
194,3,3,4,2,red
195,0,3,4,0,red
196,0,3,2,1,red
197,3,4,4,2,red
198,3,4,4,1,red
199,3,2.5,3.5,3,red
200,0,0,0,0,NA
201,0,0,5,0,red
202,0,2,3,1,red
203,0,1,3,0,red
204,3.5,4,3.5,2,red
205,0,4,5,0,red
206,0,3,5,4,red
207,3,3,4,2,red
208,0,3,4,1,red
209,0,4,1,0,red
210,0,0,5,0,red
211,3.5,2,4.5,2.5,red
212,3.0,3.0,4.5,4.5,red
213,0,4,4,0,red
214,4,3,5,5,red
215,0,0,0,0,red
216,0,0,4,0,red
217,0,3,2,3,red
218,0,2.5,4,1.5,red
219,3,4,4,2,red
220,3.5,4,4.5,2.5,red
221,3,2,4,3,red
222,3,2,5,3,red
223,4,3,4,2,red
224,0,3,5,0,red
225,3.5,4.5,4.5,2.5,red
226,3,3,4,2,
227,4,4,4,3,red
228,0,4,2,0,red
229,3.5,3.0,4.0,3.5,red
230,3,4,4,3,red
231,3,3,4,2,red
232,0,0,0,0,red
233,3,2,4,1,red
234,3,2,4,1,red
235,3.5,3,4.5,2.5,red
236,3,2,4,2,red
237,3,5,4,0,red
238,0.2,0.4,0.8,0.2,red
239,3.5,4.5,4,2.5,red
