vintage_id,review,year,wine_alcohol,country,region,price,rating,grape
1469676,"Chocolate, cinnamon and dark fruits on the nose. Smooth tannins. Cherry, black currant and aniseed on the palate. Long satisfying finish. Love it! Must get more of this. ",2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
142319633,"2 hours decant open it up. A well made Merlot with sweet tones. Cedar, harmonic fruit and a complexity that makes the 4 stars. Gentle in its performance with good again potential",2015.0,14.0,Italy, Costa Toscana,20.86,4.2,Merlot
151190509,"Nice fruity nose. Dark berries, cherries, plum, mild dark herbs and forest floor. Lively tannins and acidity. A simple but versatile red, should be good to go with pizza and pasta.",2017.0,16.0,Italy, Toscana,37.35,3.9,Sangiovese
156848268,"Perfect for evening movie, small talks and cheese. ",2019.0,13.5,Spain, Vino de España,13.72,4.2,Shiraz/Syrah
1469676,Extremely good wine for this price. Highly recommendable.,2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
1469676,Nice and toasty entrance. Very complex. But a bit short. Almost no fruit.,2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
1469676,"Good aroma such as vanilla,  chocolate..
Tobacco,  bold, full-bodied,  tannic 
Just in the vintage of 2017",2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
1469676,"Very nice wine with dark cherry, blackberry, little spice and licorice.  Well balanced crisp acid and medium tannins with a finish with oak but not heavy.  Had at Angelo’s down in Fort Lauderdale with Alli and Donnie G.  Would buy this if I could find it here ",2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
156263848,"3,4 -. Oaky, which can be common in cheaper new World PN and gives it a bit of punsh and sweetness. Vanilla and smoky finish. Too Oaked for my taste, and lacks elegance.",2018.0,14.0,United States, Napa Valley,13.86,4.0,Pinot Noir
156848268,"Very bold and juicy - could have fooled me for a Zinfandel for a moment. Notes of vanilla, oak and black berries. Medium complexity regarding palate and aftertaste.",2019.0,13.5,Spain, Vino de España,13.72,4.2,Shiraz/Syrah
1469676,Very smooth and perfumed nose. Smooth finishing. After being usher around by the regular staff to try wine and cheese and somehow I decided to buy some magnum under the influence of wine 🍷 😂.,2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
1469676,"Perfectly balanced! Excellent nose, great taste, but I would've expected it a bit longer than it is.",2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
1469676,"Again and again 
A wonderful choice 
Notes of plum jam, chocolate and berries 
Dark red
Wonderful nose",2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
160136298,oak blackcurrant vanilla @,2019.0,15.5,Australia, Barossa,13.86,4.2,Shiraz/Syrah
150611659,"A really delicious Crianza. I've had their Reserva which is freaky superb. In any case, like a good Rioja, it has the taste oak, vanilla, and cherry. At this price point, get several bottles!",2017.0,14.7,Spain, Rioja,13.99,3.9,Tempranillo
1469676,Delicious rich full bodied; enjoyed with German/Dutch friends,2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
156848268,"Mucho mas has surprised me with nice complexity of fruits on tongue , very smooth taste . Enjoyed nice density and finish , enuf writing , time to get another bottle 🍷👍.",2019.0,13.5,Spain, Vino de España,13.72,4.2,Shiraz/Syrah
150319009,One of my favorites ❤️ full bodied and smooth ,2017.0,,Italy, Irpinia Campi Taurasini,19.59,4.2,Aglianico
4334852,"A decent left bank Bordeaux blend. Barnyard funk and floral notes in the nose. Light black cherries and strawberries on the tongue. Medium-light body. Barnyard funk, leather, tobacco, graphite. Soft finish. Lingering cocoa, forest floor in the finish. Surprisingly light and delicate. Great wine for Pinot fans!!",2010.0,,France, Graves,21.55,4.2,Cabernet Sauvignon
156263848,Quite fruity with lot of vanilla flavor,2018.0,14.0,United States, Napa Valley,13.86,4.0,Pinot Noir
1469676,Te Bert of my possibilties!!!!,2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
1469676,"Harsh wine, peppery flavors, unfiltered 14 per cent alcohol.",2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
156263848,Ripe red fruit with notes of rubber and sunny asphalt. Warm and available PN from Napa. ,2018.0,14.0,United States, Napa Valley,13.86,4.0,Pinot Noir
156848268,"Really nice tasting wine, not too overpowering ⭐️⭐️⭐️",2019.0,13.5,Spain, Vino de España,13.72,4.2,Shiraz/Syrah
1469676,"3.7🌟
Always a good value. Plums, blackberries, dark fruits and cherries. Wood taste. ",2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
156848268,"Fruity, acidic, dry. Way better when you let it breathe for some time. It’s a great go to Spanish wine that never fails!",2019.0,13.5,Spain, Vino de España,13.72,4.2,Shiraz/Syrah
1469676,"The Farnese Edizione Cinque Autoctoni from five indigenous grape varieties of southern Italy...🍇🇮🇹 The Farnese Edizione Cinque Autoctoni matured for 13 months in barriques first occupancy of French and American oak...🌲🇫🇷🇺🇸 Deep ruby red, eccentric bouquet of pickled cherries, cassis liqueur, houndberry jam, tobacco, vanilla and coffee...🍷🍒☕️ Afirst-class concentration on the palate, incredibly high fruit pressure, sweetish, an opulent powerhouse...💥💪🏼😜
#99ptsbylucamaroni!
For my taste 4.3🌟!!",2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
1469676,"Intense dark-purple red color in the glass! On the nose very powerful complex aromas of black cherries, plums and black currants with some hints of spices and vanilla! On the palate full-bodied with soft, round tannins and a very persistent finish! Cheers!",2018.0,,Italy, Abruzzo,22.26,4.3,Sangiovese
